timestamp,sala,temperatura_c,umidade_pct,luminosidade_lux,ar_condicionado,pessoas_estimadas,conforto
2025-03-03 00:00:00,lab_optica,19.28,71.3,0,0,0,frio
2025-03-03 00:15:00,lab_optica,19.88,73,24,0,0,confortavel
2025-03-03 00:30:00,lab_optica,18.27,76,0,0,0,frio
2025-03-03 00:45:00,lab_optica,18.25,69.1,0,0,0,frio
2025-03-03 01:00:00,lab_optica,19.78,74.9,29,0,0,confortavel
2025-03-03 01:15:00,lab_optica,20.2,71.2,6,0,0,confortavel
2025-03-03 01:30:00,lab_optica,18.61,74.1,0,0,0,frio
2025-03-03 01:45:00,lab_optica,19.43,74.9,0,0,0,confortavel
2025-03-03 02:00:00,lab_optica,20.04,69.8,0,0,0,confortavel
2025-03-03 02:15:00,lab_optica,20.15,70.9,0,0,0,frio
2025-03-03 02:30:00,lab_optica,20.11,74.9,0,0,0,frio
2025-03-03 02:45:00,lab_optica,19.45,73.9,27,0,0,frio
2025-03-03 03:00:00,lab_optica,21.19,72.6,0,0,0,confortavel
2025-03-03 03:15:00,lab_optica,21.38,74.2,10,0,0,confortavel
2025-03-03 03:30:00,lab_optica,20.63,73.5,0,0,0,confortavel
2025-03-03 03:45:00,lab_optica,20.28,71.3,29,0,0,confortavel
2025-03-03 04:00:00,lab_optica,22.03,69.8,0,0,0,confortavel
2025-03-03 04:15:00,lab_optica,22.6,69.2,6,0,0,confortavel
2025-03-03 04:30:00,lab_optica,21.69,67.5,17,0,0,confortavel
2025-03-03 04:45:00,lab_optica,21.75,75.1,0,0,0,confortavel
2025-03-03 05:00:00,lab_optica,23.09,67.8,0,0,0,confortavel
2025-03-03 05:15:00,lab_optica,22.65,64.8,0,0,0,confortavel
2025-03-03 05:30:00,lab_optica,22.82,67.7,23,0,0,confortavel
2025-03-03 05:45:00,lab_optica,24.66,66.6,0,0,0,confortavel
2025-03-03 06:00:00,lab_optica,24.94,68.1,0,0,0,confortavel
2025-03-03 06:15:00,lab_optica,23.99,68.3,0,0,0,confortavel
2025-03-03 06:30:00,lab_optica,25,65.1,15,0,0,confortavel
2025-03-03 06:45:00,lab_optica,24.55,63.5,0,0,0,confortavel
2025-03-03 07:00:00,lab_optica,25.5,67.8,59,0,0,confortavel
2025-03-03 07:15:00,lab_optica,25.79,66.7,75,0,0,confortavel
2025-03-03 07:30:00,lab_optica,26.09,64.1,109,0,0,confortavel
2025-03-03 07:45:00,lab_optica,26.17,64.4,90,0,0,quente
2025-03-03 08:00:00,lab_optica,25.38,58.1,419,1,2,confortavel
2025-03-03 08:15:00,lab_optica,26.42,60.3,453,1,7,quente
2025-03-03 08:30:00,lab_optica,24.82,64.4,477,1,1,confortavel
2025-03-03 08:45:00,lab_optica,25.97,62,447,1,5,confortavel
2025-03-03 09:00:00,lab_optica,26.36,61,489,1,5,confortavel
2025-03-03 09:15:00,lab_optica,27.63,58.3,501,1,6,quente
2025-03-03 09:30:00,lab_optica,26.39,57.8,481,1,5,quente
2025-03-03 09:45:00,lab_optica,27.05,57.8,519,1,10,quente
2025-03-03 10:00:00,lab_optica,27.14,60.5,592,1,1,quente
2025-03-03 10:15:00,lab_optica,28.14,55,567,1,8,quente
2025-03-03 10:30:00,lab_optica,28.26,60.3,593,1,7,quente
2025-03-03 10:45:00,lab_optica,28.68,55.1,573,1,9,quente
2025-03-03 11:00:00,lab_optica,28.58,58.3,643,1,8,quente
2025-03-03 11:15:00,lab_optica,28.02,52.4,622,1,7,quente
2025-03-03 11:30:00,lab_optica,28.87,55.6,558,1,5,quente
2025-03-03 11:45:00,lab_optica,29.21,49,613,1,12,quente
2025-03-03 12:00:00,lab_optica,28.85,59.5,637,1,11,quente
2025-03-03 12:15:00,lab_optica,28.39,55.6,600,1,9,quente
2025-03-03 12:30:00,lab_optica,28.69,58.3,609,1,5,quente
2025-03-03 12:45:00,lab_optica,28.9,50.7,609,1,4,quente
2025-03-03 13:00:00,lab_optica,28.41,58.4,615,1,8,quente
2025-03-03 13:15:00,lab_optica,27.23,56.6,644,1,4,quente
2025-03-03 13:30:00,lab_optica,28.21,57.8,582,1,5,quente
2025-03-03 13:45:00,lab_optica,28.86,53.9,618,1,6,quente
2025-03-03 14:00:00,lab_optica,27.96,56.3,581,1,0,quente
2025-03-03 14:15:00,lab_optica,27.5,55.3,544,1,5,quente
2025-03-03 14:30:00,lab_optica,28.64,57.4,613,1,8,quente
2025-03-03 14:45:00,lab_optica,28.94,55.4,613,1,10,quente
2025-03-03 15:00:00,lab_optica,27.45,53.7,476,1,3,quente
2025-03-03 15:15:00,lab_optica,27.42,54.8,463,1,7,quente
2025-03-03 15:30:00,lab_optica,27.35,56.2,500,1,5,quente
2025-03-03 15:45:00,lab_optica,26.14,58.5,545,1,5,quente
2025-03-03 16:00:00,lab_optica,25.5,56.9,462,1,2,confortavel
2025-03-03 16:15:00,lab_optica,25.36,61.8,369,1,6,confortavel
2025-03-03 16:30:00,lab_optica,25.39,61.4,430,1,0,confortavel
2025-03-03 16:45:00,lab_optica,25.08,61.9,431,1,1,confortavel
2025-03-03 17:00:00,lab_optica,25.06,58.1,340,1,9,confortavel
2025-03-03 17:15:00,lab_optica,24.46,61.3,349,1,3,confortavel
2025-03-03 17:30:00,lab_optica,24.4,61.9,371,1,7,confortavel
2025-03-03 17:45:00,lab_optica,24.5,59.2,300,1,1,confortavel
2025-03-03 18:00:00,lab_optica,25.19,65.6,237,0,1,confortavel
2025-03-03 18:15:00,lab_optica,24.74,65.1,219,0,3,confortavel
2025-03-03 18:30:00,lab_optica,24.7,71.3,258,0,7,confortavel
2025-03-03 18:45:00,lab_optica,25.91,61.9,271,0,5,confortavel
2025-03-03 19:00:00,lab_optica,23.46,63.7,13,0,0,confortavel
2025-03-03 19:15:00,lab_optica,22.89,73,5,0,0,confortavel
2025-03-03 19:30:00,lab_optica,23.61,66.6,11,0,0,confortavel
2025-03-03 19:45:00,lab_optica,23.3,65,0,0,0,confortavel
2025-03-03 20:00:00,lab_optica,22.19,66.9,26,0,0,confortavel
2025-03-03 20:15:00,lab_optica,21.58,72.2,0,0,0,confortavel
2025-03-03 20:30:00,lab_optica,21.96,70.7,3,0,0,confortavel
2025-03-03 20:45:00,lab_optica,22.31,69.8,0,0,0,confortavel
2025-03-03 21:00:00,lab_optica,20.16,71.4,15,0,0,frio
2025-03-03 21:15:00,lab_optica,19.85,73.4,22,0,0,confortavel
2025-03-03 21:30:00,lab_optica,20.76,70.5,0,0,0,confortavel
2025-03-03 21:45:00,lab_optica,21.21,66.7,0,0,0,confortavel
2025-03-03 22:00:00,lab_optica,20.07,75.5,18,0,0,frio
2025-03-03 22:15:00,lab_optica,20.2,72.1,15,0,0,confortavel
2025-03-03 22:30:00,lab_optica,19.83,73,0,0,0,frio
2025-03-03 22:45:00,lab_optica,20.11,70.5,0,0,0,frio
2025-03-03 23:00:00,lab_optica,19.15,72.5,7,0,0,frio
2025-03-03 23:15:00,lab_optica,18.4,73.2,0,0,0,frio
2025-03-03 23:30:00,lab_optica,19.4,73.7,0,0,0,frio
2025-03-03 23:45:00,lab_optica,20.04,70.2,10,0,0,confortavel
2025-03-04 00:00:00,lab_optica,18.43,73.7,33,0,0,frio
2025-03-04 00:15:00,lab_optica,19.77,71.9,8,0,0,frio
2025-03-04 00:30:00,lab_optica,18.84,71.9,0,0,0,frio
2025-03-04 00:45:00,lab_optica,18.48,70.9,14,0,0,frio
2025-03-04 01:00:00,lab_optica,20.31,68.9,46,0,0,frio
2025-03-04 01:15:00,lab_optica,18.98,74.1,0,0,0,frio
2025-03-04 01:30:00,lab_optica,18.56,71,0,0,0,frio
2025-03-04 01:45:00,lab_optica,18.77,76,0,0,0,frio
2025-03-04 02:00:00,lab_optica,19.26,75.6,0,0,0,frio
2025-03-04 02:15:00,lab_optica,20.15,71.5,0,0,0,confortavel
2025-03-04 02:30:00,lab_optica,19.67,70.7,0,0,0,frio
2025-03-04 02:45:00,lab_optica,20.03,71.6,0,0,0,frio
2025-03-04 03:00:00,lab_optica,20.64,67.4,0,0,0,confortavel
2025-03-04 03:15:00,lab_optica,21.04,71,37,0,0,confortavel
2025-03-04 03:30:00,lab_optica,20.66,72.3,3,0,0,confortavel
2025-03-04 03:45:00,lab_optica,20.52,71.3,0,0,0,confortavel
2025-03-04 04:00:00,lab_optica,21.22,72.9,39,0,0,confortavel
2025-03-04 04:15:00,lab_optica,21.96,68.1,13,0,0,confortavel
2025-03-04 04:30:00,lab_optica,22.02,69.1,41,0,0,confortavel
2025-03-04 04:45:00,lab_optica,20.7,69.9,0,0,0,confortavel
2025-03-04 05:00:00,lab_optica,23.45,67.6,0,0,0,confortavel
2025-03-04 05:15:00,lab_optica,23.34,66.3,0,0,0,confortavel
2025-03-04 05:30:00,lab_optica,23.26,66.2,42,0,0,confortavel
2025-03-04 05:45:00,lab_optica,23.07,70.2,0,0,0,confortavel
2025-03-04 06:00:00,lab_optica,24.54,66.7,11,0,0,confortavel
2025-03-04 06:15:00,lab_optica,24.67,70.4,25,0,0,confortavel
2025-03-04 06:30:00,lab_optica,23.96,66.5,0,0,0,confortavel
2025-03-04 06:45:00,lab_optica,25.37,64.3,9,0,0,confortavel
2025-03-04 07:00:00,lab_optica,25.44,64.2,84,0,0,confortavel
2025-03-04 07:15:00,lab_optica,25.71,65.6,95,0,0,confortavel
2025-03-04 07:30:00,lab_optica,25.38,66.8,116,0,0,confortavel
2025-03-04 07:45:00,lab_optica,26.34,60,87,0,0,confortavel
2025-03-04 08:00:00,lab_optica,26.79,58.7,433,1,6,quente
2025-03-04 08:15:00,lab_optica,26.73,59.5,457,1,8,quente
2025-03-04 08:30:00,lab_optica,25.79,62.3,467,1,8,quente
2025-03-04 08:45:00,lab_optica,26.69,59.6,440,1,9,quente
2025-03-04 09:00:00,lab_optica,26.03,62.2,513,1,0,confortavel
2025-03-04 09:15:00,lab_optica,27.42,57.1,503,1,6,quente
2025-03-04 09:30:00,lab_optica,27.59,57.5,497,1,6,quente
2025-03-04 09:45:00,lab_optica,26.81,56.7,558,1,8,quente
2025-03-04 10:00:00,lab_optica,27.94,57.8,559,1,7,quente
2025-03-04 10:15:00,lab_optica,27.49,56.3,539,1,3,quente
2025-03-04 10:30:00,lab_optica,27.15,62.9,596,1,1,quente
2025-03-04 10:45:00,lab_optica,27.29,56.3,576,1,6,quente
2025-03-04 11:00:00,lab_optica,27.87,62.3,619,1,3,quente
2025-03-04 11:15:00,lab_optica,28.43,55.6,615,1,1,quente
2025-03-04 11:30:00,lab_optica,28.91,55.9,599,1,5,quente
2025-03-04 11:45:00,lab_optica,28.7,56.2,577,1,6,quente
2025-03-04 12:00:00,lab_optica,28.62,59.6,601,1,8,quente
2025-03-04 12:15:00,lab_optica,28.13,58.7,612,1,2,quente
2025-03-04 12:30:00,lab_optica,27.27,52.4,584,1,0,quente
2025-03-04 12:45:00,lab_optica,28.91,54.9,604,1,9,quente
2025-03-04 13:00:00,lab_optica,28.86,51.9,572,1,4,quente
2025-03-04 13:15:00,lab_optica,28.42,55.3,622,1,6,quente
2025-03-04 13:30:00,lab_optica,28.44,52.6,549,1,6,quente
2025-03-04 13:45:00,lab_optica,28.8,52.4,599,1,8,quente
2025-03-04 14:00:00,lab_optica,27.05,59.5,568,1,3,quente
2025-03-04 14:15:00,lab_optica,27.53,58.3,546,1,4,quente
2025-03-04 14:30:00,lab_optica,27.2,58.8,544,1,2,quente
2025-03-04 14:45:00,lab_optica,26.77,60,607,1,1,quente
2025-03-04 15:00:00,lab_optica,26.33,57.1,505,1,0,quente
2025-03-04 15:15:00,lab_optica,26.69,60.8,505,1,3,quente
2025-03-04 15:30:00,lab_optica,26.4,59.3,482,1,1,quente
2025-03-04 15:45:00,lab_optica,26.45,61.1,474,1,2,quente
2025-03-04 16:00:00,lab_optica,25.69,60.4,437,1,2,quente
2025-03-04 16:15:00,lab_optica,25.87,62.3,390,1,4,quente
2025-03-04 16:30:00,lab_optica,25.82,61.8,464,1,2,confortavel
2025-03-04 16:45:00,lab_optica,26.21,61.8,438,1,9,confortavel
2025-03-04 17:00:00,lab_optica,24.9,63.1,329,1,3,confortavel
2025-03-04 17:15:00,lab_optica,24.38,61,286,1,9,confortavel
2025-03-04 17:30:00,lab_optica,24.48,62.9,327,1,8,confortavel
2025-03-04 17:45:00,lab_optica,24.36,59.7,318,1,3,confortavel
2025-03-04 18:00:00,lab_optica,25.47,65.1,254,0,4,confortavel
2025-03-04 18:15:00,lab_optica,25.31,64.6,218,0,0,confortavel
2025-03-04 18:30:00,lab_optica,24.54,66,283,0,6,confortavel
2025-03-04 18:45:00,lab_optica,24.89,68.3,258,0,2,confortavel
2025-03-04 19:00:00,lab_optica,22.97,64.8,14,0,0,confortavel
2025-03-04 19:15:00,lab_optica,23.46,71.2,11,0,0,confortavel
2025-03-04 19:30:00,lab_optica,23.51,67.8,0,0,0,confortavel
2025-03-04 19:45:00,lab_optica,23.05,71.3,15,0,0,confortavel
2025-03-04 20:00:00,lab_optica,21.72,72.6,23,0,0,confortavel
2025-03-04 20:15:00,lab_optica,21.5,65.1,0,0,0,confortavel
