timestamp,dia_semana,hora,eventos_pir,co2_ppm,ruido_db,luminosidade_lux,temperatura_c,porta_aberta,pessoas,sala_ocupada
2025-03-03 00:00:00,segunda,0,9,454,49.1,369,22.35,0,1,1
2025-03-03 00:15:00,segunda,0,0,454,30.6,0,23.41,0,0,0
2025-03-03 00:30:00,segunda,0,0,448,36.8,41,22.35,0,0,0
2025-03-03 00:45:00,segunda,0,1,448,31.6,30,22.02,0,0,0
2025-03-03 01:00:00,segunda,1,0,446,34.8,16,22.53,0,0,0
2025-03-03 01:15:00,segunda,1,2,446,31.2,0,22.44,0,0,0
2025-03-03 01:30:00,segunda,1,0,434,38,321,22.13,0,0,0
2025-03-03 01:45:00,segunda,1,15,438,46.3,332,22.07,0,1,1
2025-03-03 02:00:00,segunda,2,1,432,34.5,31,21.84,0,0,0
2025-03-03 02:15:00,segunda,2,1,431,35.1,0,22.53,0,0,0
2025-03-03 02:30:00,segunda,2,1,426,40.1,27,21.88,0,0,0
2025-03-03 02:45:00,segunda,2,0,428,32.7,5,22.63,0,0,0
2025-03-03 03:00:00,segunda,3,1,425,32.5,22,22.28,0,0,0
2025-03-03 03:15:00,segunda,3,0,431,35.3,0,22.04,0,0,0
2025-03-03 03:30:00,segunda,3,0,429,37.4,270,22.07,0,0,0
2025-03-03 03:45:00,segunda,3,0,425,34.6,0,22.25,0,0,0
2025-03-03 04:00:00,segunda,4,2,432,34.9,0,22.02,0,0,0
2025-03-03 04:15:00,segunda,4,0,429,37.4,32,22.01,0,0,0
2025-03-03 04:30:00,segunda,4,2,429,35.1,0,21.67,0,0,0
2025-03-03 04:45:00,segunda,4,1,426,39.1,0,22.7,0,0,0
2025-03-03 05:00:00,segunda,5,0,429,37.5,12,22.24,0,0,0
2025-03-03 05:15:00,segunda,5,0,437,37.4,23,22.69,0,0,0
2025-03-03 05:30:00,segunda,5,0,434,34.8,0,22.08,0,0,0
2025-03-03 05:45:00,segunda,5,1,434,38.1,0,23.25,0,0,0
2025-03-03 06:00:00,segunda,6,0,431,34.3,0,22.81,0,0,0
2025-03-03 06:15:00,segunda,6,0,429,34.9,0,21.96,0,0,0
2025-03-03 06:30:00,segunda,6,0,420,33.1,292,22.61,0,0,0
2025-03-03 06:45:00,segunda,6,0,427,32.8,20,22.49,0,0,0
2025-03-03 07:00:00,segunda,7,2,431,36.1,94,22.44,0,0,0
2025-03-03 07:15:00,segunda,7,0,434,28.3,123,22.24,0,0,0
2025-03-03 07:30:00,segunda,7,2,426,28,126,22.37,0,0,0
2025-03-03 07:45:00,segunda,7,1,418,40.1,117,23.06,0,0,0
2025-03-03 08:00:00,segunda,8,11,445,48,440,23.15,0,1,1
2025-03-03 08:15:00,segunda,8,1,552,35.1,418,23.58,1,8,1
2025-03-03 08:30:00,segunda,8,1,521,34.4,113,23.26,0,0,0
2025-03-03 08:45:00,segunda,8,35,772,54.2,415,23.77,0,20,1
2025-03-03 09:00:00,segunda,9,32,955,56.5,451,23.97,1,17,1
2025-03-03 09:15:00,segunda,9,26,1099,56.5,475,23.84,0,16,1
2025-03-03 09:30:00,segunda,9,16,1098,54.2,399,23.22,1,7,1
2025-03-03 09:45:00,segunda,9,0,1007,33.1,82,22.3,0,0,0
2025-03-03 10:00:00,segunda,10,1,1094,29.9,99,23.77,0,13,1
2025-03-03 10:15:00,segunda,10,15,1111,52.8,132,24.28,0,9,1
2025-03-03 10:30:00,segunda,10,36,1291,58.9,454,23.88,1,21,1
2025-03-03 10:45:00,segunda,10,41,1492,54.6,449,24.47,0,25,1
2025-03-03 11:00:00,segunda,11,33,1475,60,380,23.74,0,11,1
2025-03-03 11:15:00,segunda,11,1,1299,37.1,113,22.92,0,0,0
2025-03-03 11:30:00,segunda,11,17,1279,50.2,420,23.51,0,8,1
2025-03-03 11:45:00,segunda,11,38,1475,56.5,459,24.86,0,24,1
2025-03-03 12:00:00,segunda,12,0,1309,42.1,147,22.33,0,0,0
2025-03-03 12:15:00,segunda,12,0,1169,33,140,21.91,0,0,0
2025-03-03 12:30:00,segunda,12,0,1061,33.2,123,22.63,0,0,0
2025-03-03 12:45:00,segunda,12,2,966,29.5,106,22.24,0,0,0
2025-03-03 13:00:00,segunda,13,0,882,28.8,128,22.34,0,0,0
2025-03-03 13:15:00,segunda,13,0,810,40.6,94,22.48,0,0,0
2025-03-03 13:30:00,segunda,13,0,763,48.6,95,23,0,0,0
2025-03-03 13:45:00,segunda,13,0,715,34.6,91,22.72,0,0,0
2025-03-03 14:00:00,segunda,14,1,669,34,48,23.17,0,0,0
2025-03-03 14:15:00,segunda,14,31,860,57,424,24.3,1,16,1
2025-03-03 14:30:00,segunda,14,39,1099,57.9,455,24.79,1,23,1
2025-03-03 14:45:00,segunda,14,0,1271,36.8,414,24.28,0,20,1
2025-03-03 15:00:00,segunda,15,0,1153,37.7,85,22.8,0,0,0
2025-03-03 15:15:00,segunda,15,2,1227,31,422,23.26,0,12,1
2025-03-03 15:30:00,segunda,15,24,1267,47.9,406,23.11,0,12,1
2025-03-03 15:45:00,segunda,15,34,1359,59.3,497,24.51,0,17,1
2025-03-03 16:00:00,segunda,16,36,1465,55.8,434,23.76,1,18,1
2025-03-03 16:15:00,segunda,16,28,1524,66,442,24.05,0,16,1
2025-03-03 16:30:00,segunda,16,1,1572,36.2,494,23.41,0,16,1
