timestamp,hora,dia_semana,fim_de_semana,feriado,temperatura_externa_c,umidade_externa_pct,ocupacao_predio,tarifa_ponta,consumo_kwh
2025-03-01 00:00:00,0,sabado,1,0,22.2,77.3,0,0,12.32
2025-03-01 01:00:00,1,sabado,1,0,20.5,80,0,0,11.82
2025-03-01 02:00:00,2,sabado,1,0,20,94.8,0,0,8.21
2025-03-01 03:00:00,3,sabado,1,0,19.7,88.4,0,0,16.57
2025-03-01 04:00:00,4,sabado,1,0,20.3,84.7,0,0,18.95
2025-03-01 05:00:00,5,sabado,1,0,21,89.1,0,0,12.34
2025-03-01 06:00:00,6,sabado,1,0,20.8,87.7,0,0,17.86
2025-03-01 07:00:00,7,sabado,1,0,24.3,75.6,0,0,14.92
2025-03-01 08:00:00,8,sabado,1,0,24.8,73.8,0,0,15.1
2025-03-01 09:00:00,9,sabado,1,0,25.5,77,16,0,20.94
2025-03-01 10:00:00,10,sabado,1,0,27,71.8,20,0,29.53
2025-03-01 11:00:00,11,sabado,1,0,30.6,65.3,23,0,38.31
2025-03-01 12:00:00,12,sabado,1,0,30.4,63,12,0,32.4
2025-03-01 13:00:00,13,sabado,1,0,30.6,62.3,19,0,34.17
2025-03-01 14:00:00,14,sabado,1,0,30.5,63.1,26,0,37.3
2025-03-01 15:00:00,15,sabado,1,0,31.1,58.7,18,0,33.2
2025-03-01 16:00:00,16,sabado,1,0,31.4,57.5,0,0,32
2025-03-01 17:00:00,17,sabado,1,0,32.1,54.7,0,0,30.24
2025-03-01 18:00:00,18,sabado,1,0,29.3,62.2,0,0,22.06
2025-03-01 19:00:00,19,sabado,1,0,29,68.2,0,0,24.02
2025-03-01 20:00:00,20,sabado,1,0,27.6,70.8,0,0,22.37
2025-03-01 21:00:00,21,sabado,1,0,24.1,73.1,0,0,15.01
2025-03-01 22:00:00,22,sabado,1,0,24.2,78.3,0,0,18.08
2025-03-01 23:00:00,23,sabado,1,0,23.2,79.8,0,0,12.53
2025-03-02 00:00:00,0,domingo,1,0,22.4,81.3,0,0,14.16
2025-03-02 01:00:00,1,domingo,1,0,22.2,81.3,0,0,11.24
2025-03-02 02:00:00,2,domingo,1,0,21.9,82.4,0,0,14.16
2025-03-02 03:00:00,3,domingo,1,0,20.1,88,0,0,14.29
2025-03-02 04:00:00,4,domingo,1,0,21.6,81.8,0,0,14.55
2025-03-02 05:00:00,5,domingo,1,0,21.6,80.6,0,0,12.29
2025-03-02 06:00:00,6,domingo,1,0,23.7,77.3,0,0,14.19
2025-03-02 07:00:00,7,domingo,1,0,23.8,87.4,0,0,11.22
2025-03-02 08:00:00,8,domingo,1,0,24.2,73.2,0,0,16.5
2025-03-02 09:00:00,9,domingo,1,0,26.7,63.2,16,0,29.48
2025-03-02 10:00:00,10,domingo,1,0,27.7,64.6,26,0,31.42
2025-03-02 11:00:00,11,domingo,1,0,29.6,59.7,23,0,30.19
2025-03-02 12:00:00,12,domingo,1,0,29.8,64.5,15,0,34.66
2025-03-02 13:00:00,13,domingo,1,0,28.6,74.9,20,0,30.21
2025-03-02 14:00:00,14,domingo,1,0,30.7,58.6,19,0,36.82
2025-03-02 15:00:00,15,domingo,1,0,32.2,56.9,9,0,34.48
2025-03-02 16:00:00,16,domingo,1,0,31.9,58.8,0,0,28.86
2025-03-02 17:00:00,17,domingo,1,0,30.6,57.7,0,0,28.19
2025-03-02 18:00:00,18,domingo,1,0,30.5,65.9,0,0,24.66
2025-03-02 19:00:00,19,domingo,1,0,29.2,67.6,0,0,20.06
2025-03-02 20:00:00,20,domingo,1,0,28.8,62.2,0,0,20.91
2025-03-02 21:00:00,21,domingo,1,0,27.6,64.8,0,0,24.05
2025-03-02 22:00:00,22,domingo,1,0,23.8,77.9,0,0,18.33
2025-03-02 23:00:00,23,domingo,1,0,25.3,80.4,0,0,15.67
2025-03-03 00:00:00,0,segunda,0,0,23.5,81.4,0,0,11.27
2025-03-03 01:00:00,1,segunda,0,0,22.6,87.6,0,0,15.78
2025-03-03 02:00:00,2,segunda,0,0,23,73.6,0,0,12.02
2025-03-03 03:00:00,3,segunda,0,0,19.5,83.7,0,0,10.47
2025-03-03 04:00:00,4,segunda,0,0,22.5,79.7,0,0,16.37
2025-03-03 05:00:00,5,segunda,0,0,22.4,79.3,0,0,12.87
2025-03-03 06:00:00,6,segunda,0,0,23.1,81,0,0,13.63
2025-03-03 07:00:00,7,segunda,0,0,24.4,81.4,5,0,17.81
2025-03-03 08:00:00,8,segunda,0,0,25.7,78.2,38,0,33.17
2025-03-03 09:00:00,9,segunda,0,0,25.3,77.3,53,0,35.14
2025-03-03 10:00:00,10,segunda,0,0,28.5,68.3,64,0,47.99
2025-03-03 11:00:00,11,segunda,0,0,29.5,63.1,79,0,57.77
2025-03-03 12:00:00,12,segunda,0,0,31,59,94,0,67.95
2025-03-03 13:00:00,13,segunda,0,0,32.6,55.8,87,0,63.05
2025-03-03 14:00:00,14,segunda,0,0,30.7,67.4,96,0,69.31
2025-03-03 15:00:00,15,segunda,0,0,33.6,57,88,0,69.63
2025-03-03 16:00:00,16,segunda,0,0,32.3,63,82,0,62.25
2025-03-03 17:00:00,17,segunda,0,0,31.6,62,69,0,55.94
2025-03-03 18:00:00,18,segunda,0,0,31.2,60.8,49,1,51.34
2025-03-03 19:00:00,19,segunda,0,0,30.1,73.4,38,1,41.9
2025-03-03 20:00:00,20,segunda,0,0,28.4,70.1,20,1,30.47
2025-03-03 21:00:00,21,segunda,0,0,27.1,69.7,0,0,22.86
2025-03-03 22:00:00,22,segunda,0,0,25.6,79.6,0,0,15.12
2025-03-03 23:00:00,23,segunda,0,0,23.5,75.7,0,0,12.34
2025-03-04 00:00:00,0,terca,0,0,24.2,78.4,0,0,19.45
2025-03-04 01:00:00,1,terca,0,0,21.3,87.3,0,0,17.67
2025-03-04 02:00:00,2,terca,0,0,21.2,87,0,0,14.91
2025-03-04 03:00:00,3,terca,0,0,21.5,82.6,0,0,15.39
2025-03-04 04:00:00,4,terca,0,0,22.3,83.1,0,0,11.14
2025-03-04 05:00:00,5,terca,0,0,21.8,84.2,0,0,12.28
2025-03-04 06:00:00,6,terca,0,0,22.1,77.3,0,0,14.41
2025-03-04 07:00:00,7,terca,0,0,24.1,72.7,20,0,20.51
2025-03-04 08:00:00,8,terca,0,0,25.3,77.9,34,0,28.53
2025-03-04 09:00:00,9,terca,0,0,26.8,78.1,55,0,40.31
2025-03-04 10:00:00,10,terca,0,0,29,69.5,65,0,49.41
2025-03-04 11:00:00,11,terca,0,0,30,67.6,67,0,52
2025-03-04 12:00:00,12,terca,0,0,30.2,60.5,75,0,59.45
2025-03-04 13:00:00,13,terca,0,0,32.3,58.9,88,0,63.14
2025-03-04 14:00:00,14,terca,0,0,32.3,56.6,92,0,71.33
2025-03-04 15:00:00,15,terca,0,0,32.3,53.9,68,0,57.73
2025-03-04 16:00:00,16,terca,0,0,32,63.7,68,0,57.15
2025-03-04 17:00:00,17,terca,0,0,31.1,62.6,75,0,58.78
2025-03-04 18:00:00,18,terca,0,0,31.5,60.8,70,1,56.44
2025-03-04 19:00:00,19,terca,0,0,30.8,70.1,38,1,43.13
2025-03-04 20:00:00,20,terca,0,0,28.3,64.3,32,1,32.13
2025-03-04 21:00:00,21,terca,0,0,28.1,68.3,0,0,26.28
