timestamp,nivel_pct,volume_m3,vazao_entrada_l_min,vazao_saida_l_min,pressao_bar,bomba_ligada,temperatura_agua_c,vazamento_suspeito
2025-03-03 00:00:00,71.62,35.809,1.75,20.83,2.044,0,22.4,0
2025-03-03 00:10:00,71.34,35.671,0.1,13.96,2.068,0,23.1,0
2025-03-03 00:20:00,71.01,35.503,1.3,18.11,2.039,0,22.4,0
2025-03-03 00:30:00,70.79,35.396,0.35,11.02,2.033,0,22.8,0
2025-03-03 00:40:00,70.45,35.223,1.31,18.57,2.003,0,22.9,0
2025-03-03 00:50:00,70.17,35.086,0.51,14.19,2.011,0,22.8,0
2025-03-03 01:00:00,69.93,34.964,2.68,14.88,2.057,0,22.1,0
2025-03-03 01:10:00,69.75,34.875,0.5,9.44,2.007,0,22.7,0
2025-03-03 01:20:00,69.53,34.763,0.63,11.87,1.962,0,22.3,0
2025-03-03 01:30:00,69.14,34.572,1.95,21,2.055,0,22.3,0
2025-03-03 01:40:00,68.82,34.41,0.13,16.36,2.015,0,22.7,0
2025-03-03 01:50:00,68.58,34.292,2.18,13.9,1.986,0,21.6,0
2025-03-03 02:00:00,68.34,34.169,1.9,14.29,1.99,0,22.3,0
2025-03-03 02:10:00,68.08,34.038,1.27,14.33,1.986,0,21.5,0
2025-03-03 02:20:00,67.77,33.885,0.82,16.1,1.96,0,21.7,0
2025-03-03 02:30:00,67.37,33.685,1.32,21.38,1.969,0,21.7,0
2025-03-03 02:40:00,67.06,33.531,2.44,17.79,1.961,0,21.9,0
2025-03-03 02:50:00,66.81,33.404,0.97,13.72,2.001,0,22.7,0
2025-03-03 03:00:00,66.54,33.271,1.13,14.35,1.95,0,21.1,0
2025-03-03 03:10:00,66.3,33.151,0.9,12.93,1.96,0,21.5,0
2025-03-03 03:20:00,65.95,32.977,1.41,18.83,1.917,0,22.1,0
2025-03-03 03:30:00,65.77,32.886,1.98,11.06,1.902,0,21.5,0
2025-03-03 03:40:00,65.51,32.754,1.59,14.81,1.948,0,21.8,0
2025-03-03 03:50:00,65.25,32.623,0.91,13.98,1.989,0,22.1,0
2025-03-03 04:00:00,64.92,32.459,0.73,17.15,1.897,0,22,0
2025-03-03 04:10:00,64.48,32.239,1.91,23.91,1.931,0,21.1,0
2025-03-03 04:20:00,64.08,32.039,1.13,21.17,1.93,0,21.9,0
2025-03-03 04:30:00,63.57,31.783,0.94,26.52,1.883,0,21.9,0
2025-03-03 04:40:00,63.27,31.633,0.69,15.66,1.863,0,21.8,0
2025-03-03 04:50:00,62.98,31.488,0.61,15.16,1.912,0,21.5,0
2025-03-03 05:00:00,62.46,31.228,1.64,27.57,1.847,0,21.4,0
2025-03-03 05:10:00,61.95,30.975,1.77,27.09,1.827,0,21.3,0
2025-03-03 05:20:00,61.43,30.713,1.05,27.31,1.823,0,21.6,0
2025-03-03 05:30:00,60.94,30.471,1.28,25.4,1.837,0,21.5,0
2025-03-03 05:40:00,60.34,30.171,1.67,31.72,1.77,0,21.2,0
2025-03-03 05:50:00,59.87,29.935,0.81,24.41,1.873,0,21.4,0
2025-03-03 06:00:00,59.21,29.603,2.33,35.56,1.8,0,22.2,0
2025-03-03 06:10:00,58.44,29.221,1.46,39.61,1.835,0,22,0
2025-03-03 06:20:00,57.77,28.887,1.55,34.93,1.77,0,21.6,0
2025-03-03 06:30:00,56.97,28.484,0.11,40.43,1.755,0,22.4,0
2025-03-03 06:40:00,56.24,28.122,0.91,37.09,1.731,0,21.1,0
